name,BF,fork_join,width,levels,parallel,size
/home/hummus/Dropbox/thesis/data/input/graphml/translated_lofar_nsm_2x4.graphml,1.0280373832,False,2,42,True,214
/home/hummus/Dropbox/thesis/data/input/graphml/translated_CALIB_6_copies.graphml,1.2222222222,False,2,13,False,162
/home/hummus/Dropbox/thesis/data/input/graphml/translated_askap_LoadParset.graphml,0.6666666667,False,1,2,False,3
/home/hummus/Dropbox/thesis/data/input/graphml/translated_atca_minh_3-2_copies.graphml,1.3225806452,False,4,11,False,31
/home/hummus/Dropbox/thesis/data/input/graphml/translated_chiles_two_dev2_3-3-3_copies.graphml,1.2665474061,False,39,31,False,559
/home/hummus/Dropbox/thesis/data/input/graphml/translated_MS-MSF_Fq-Fc-Ti-Sb_2-2-2_copies.graphml,1.2074074074,True,4,23,True,135
/home/hummus/Dropbox/thesis/data/input/graphml/translated_MS-MSF_Fq-Fc-Ti-Sb_9-3-5-copies.graphml,1.2591876209,False,15,23,False,2068
/home/hummus/Dropbox/thesis/data/input/graphml/translated_askap_hello.graphml,0.8,False,1,3,False,5
/home/hummus/Dropbox/thesis/data/input/graphml/translated_dist_sagecal_sleep_1_copies.graphml,1.5423728814,False,4,50,False,59
/home/hummus/Dropbox/thesis/data/input/graphml/translated_chiles_two_8_copies.graphml,1.1304347826,False,4,13,False,184
/home/hummus/Dropbox/thesis/data/input/graphml/translated_MS-MSF_Fq-Fc-Ti-Sb_8-8-8-copies.graphml,1.26480114,False,64,23,False,7719
/home/hummus/Dropbox/thesis/data/input/graphml/translated_atca_attila.graphml,1.2878787879,True,7,30,False,66
/home/hummus/Dropbox/thesis/data/input/graphml/translated_chiles_two_dev2_12-12-12_copies.graphml,1.3052314641,False,1884,31,False,29227
/home/hummus/Dropbox/thesis/data/input/graphml/translated_atca_minh_4-5_copies.graphml,1.380952381,False,5,11,False,42
/home/hummus/Dropbox/thesis/data/input/graphml/translated_MS-MSF_Fq-Fc-Ti-Sb_2-2-2-copies.graphml,1.2074074074,True,4,23,True,135
/home/hummus/Dropbox/thesis/data/input/graphml/translated_chiles_two_12_copies.graphml,1.1397058824,False,4,13,False,272
/home/hummus/Dropbox/thesis/data/input/graphml/translated_lofar_test_8x8.graphml,1.2212978369,False,8,42,False,1202
/home/hummus/Dropbox/thesis/data/input/graphml/translated_atca_attila_3_copies.graphml,1.1960784314,False,4,30,False,51
/home/hummus/Dropbox/thesis/data/input/graphml/translated_lofar_cal.graphml,0.75,False,1,3,False,4
/home/hummus/Dropbox/thesis/data/input/graphml/translated_mwa_gleam_simple.graphml,0.9166666667,False,1,7,False,72
/home/hummus/Dropbox/thesis/data/input/graphml/translated_lofar_test_4x8.graphml,1.2,False,2,42,True,690
/home/hummus/Dropbox/thesis/data/input/graphml/translated_CALIB_12_copies.graphml,1.2222222222,False,2,13,False,324
/home/hummus/Dropbox/thesis/data/input/graphml/translated_lofar_test_2x4.graphml,1.1636363636,False,2,42,True,220
/home/hummus/Dropbox/thesis/data/input/graphml/translated_dist_sagecal.graphml,1.5918367347,False,5,53,False,98
/home/hummus/Dropbox/thesis/data/input/graphml/translated_mwa_gleam_simple_12_copies.graphml,0.9166666667,False,1,7,False,144
/home/hummus/Dropbox/thesis/data/input/graphml/translated_atca_attila_12_copies.graphml,1.3854166667,False,13,30,False,96
/home/hummus/Dropbox/thesis/data/input/graphml/translated_askap_dingo_expanded.graphml,1.1186440678,False,2,12,False,59
/home/hummus/Dropbox/thesis/data/input/graphml/translated_chiles_two_dev1.graphml,1.1025641026,False,2,8,False,78
/home/hummus/Dropbox/thesis/data/input/graphml/translated_MS-MSF_Fq-Ti-Fc-Sb_2-4-9_copies.graphml,1.4062947067,False,18,20,False,699
/home/hummus/Dropbox/thesis/data/input/graphml/translated_dist_sagecal_sleep_9_copies.graphml,1.6309859155,False,12,50,False,355
/home/hummus/Dropbox/thesis/data/input/graphml/translated_facet_img-9-9-9_copies.graphml,1.3041286606,False,819,31,False,12498
/home/hummus/Dropbox/thesis/data/input/graphml/translated_atca_attila_4_copies.graphml,1.2321428571,False,5,30,False,56
/home/hummus/Dropbox/thesis/data/input/graphml/translated_chiles_simple.graphml,0.9545454545,False,5,5,False,22
/home/hummus/Dropbox/thesis/data/input/graphml/translated_facet_img_12-12-8_copies.graphml,1.3057185125,False,1256,31,False,19603
/home/hummus/Dropbox/thesis/data/input/graphml/translated_dist_sagecal_sleep.graphml,1.6263345196,False,10,50,False,281
/home/hummus/Dropbox/thesis/data/input/graphml/translated_dist_sagecal_sleep_3_copies.graphml,1.6015037594,False,6,50,False,133
/home/hummus/Dropbox/thesis/data/input/graphml/translated_MS-MSF_Fq-Fc-Ti-Sb_8-8-8_copies.graphml,1.26480114,False,64,23,False,7719
/home/hummus/Dropbox/thesis/data/input/graphml/translated_facet_img.graphml,1.2732824428,False,42,31,False,655
/home/hummus/Dropbox/thesis/data/input/graphml/translated_chiles_two_dev2.graphml,1.2685370742,False,32,31,False,499
/home/hummus/Dropbox/thesis/data/input/graphml/translated_MS-MSF_Fq-Fc-Ti-Sb.graphml,1.2563580875,False,16,23,False,983
/home/hummus/Dropbox/thesis/data/input/graphml/translated_cont_img.graphml,1.195945946,False,3,97,False,148
/home/hummus/Dropbox/thesis/data/input/graphml/translated_chiles_two_dev1_8-8_copies.graphml,1.1962616822,False,8,12,True,428
/home/hummus/Dropbox/thesis/data/input/graphml/translated_MS-MSF_Fq-Fc-Ti-Sb_6-6-6_copies.graphml,1.2629165393,False,36,23,False,3271
/home/hummus/Dropbox/thesis/data/input/graphml/translated_lofar_std.graphml,1.1666666667,False,3,33,False,192
/home/hummus/Dropbox/thesis/data/input/graphml/translated_facet_img_2-2-2_copies.graphml,1.2303664922,False,14,31,False,191
/home/hummus/Dropbox/thesis/data/input/graphml/translated_test_mk_grpby.graphml,1.1693548387,False,4,17,True,124
/home/hummus/Dropbox/thesis/data/input/graphml/translated_mwa_gleam.graphml,0.9615384615,False,1,19,False,130
/home/hummus/Dropbox/thesis/data/input/graphml/translated_chiles_two_dev1_12-12_copies.graphml,1.2185430464,False,12,8,True,906
/home/hummus/Dropbox/thesis/data/input/graphml/translated_MS-MSF_Fq-Ti-Fc-Sb.graphml,1.3724696356,False,6,20,False,247
/home/hummus/Dropbox/thesis/data/input/graphml/translated_askap_dingo.graphml,1.1186440678,False,2,12,False,59
/home/hummus/Dropbox/thesis/data/input/graphml/translated_CALIB_8_copies.graphml,1.2222222222,False,2,13,False,216
/home/hummus/Dropbox/thesis/data/input/graphml/translated_dist_sagecal_sleep_5_copies.graphml,1.6183574879,False,8,50,False,207
/home/hummus/Dropbox/thesis/data/input/graphml/translated_lofar_test_4x4.graphml,1.1954022989,False,2,42,True,348
/home/hummus/Dropbox/thesis/data/input/graphml/translated_facet_img_8-8-4_copies.graphml,1.2989308313,False,292,31,False,4583
/home/hummus/Dropbox/thesis/data/input/graphml/translated_chiles_two_dev2_6-8-4_copies.graphml,1.2962215172,False,220,31,False,3467
/home/hummus/Dropbox/thesis/data/input/graphml/translated_MS-MSF_Fq-Ti-Fc-Sb_8-2-8_copies.graphml,1.4639269406,False,16,19,False,1095
/home/hummus/Dropbox/thesis/data/input/graphml/translated_CALIB.graphml,1.2222222222,False,2,13,False,108
/home/hummus/Dropbox/thesis/data/input/graphml/translated_chiles_two_dev2_3-6-9_copies.graphml,1.2935494998,False,198,31,False,2899
/home/hummus/Dropbox/thesis/data/input/graphml/translated_askap_LoadVis.graphml,0.6666666667,False,1,2,False,3
/home/hummus/Dropbox/thesis/data/input/graphml/translated_mwa_gleam_simple_3_copies.graphml,0.9166666667,False,1,7,False,36
/home/hummus/Dropbox/thesis/data/input/graphml/translated_MS-MSF_Fq-Ti-Fc-Sb_6-4-8_copies.graphml,1.4730650155,False,24,20,False,1615
/home/hummus/Dropbox/thesis/data/input/graphml/translated_chiles_two.graphml,1.0789473684,False,4,13,False,76
/home/hummus/Dropbox/thesis/data/input/graphml/translated_atca_attila_8_copies.graphml,1.3289473684,False,9,30,False,76
/home/hummus/Dropbox/thesis/data/input/graphml/translated_atca_minh_10-8_copies.graphml,1.4743589744,True,11,11,False,78
/home/hummus/Dropbox/thesis/data/input/graphml/translated_MS-MSF_Fq-Fc-Ti-Sb_1-1-1_copies.graphml,1,False,3,23,True,26
/home/hummus/Dropbox/thesis/data/input/graphml/translated_test_grpby_gather.graphml,1.3766233766,False,5,7,False,154
/home/hummus/Dropbox/thesis/data/input/graphml/translated_MS-MSF_Ti-Fq-Fc-Sb.graphml,1.2644163151,False,64,17,False,711
/home/hummus/Dropbox/thesis/data/input/graphml/translated_dist_sagecal_sleep_2_copies.graphml,1.5833333333,False,5,50,False,96
/home/hummus/Dropbox/thesis/data/input/graphml/translated_mwa_gleam_simple_8_copies.graphml,0.9166666667,False,1,7,False,96
/home/hummus/Dropbox/thesis/data/input/graphml/translated_chiles_two_dev1_8-4_copies.graphml,1.1639344262,False,4,8,False,244
/home/hummus/Dropbox/thesis/data/input/graphml/translated_chiles_two_dev1_4-8_copies.graphml,1.2050473186,False,8,8,False,634
/home/hummus/Dropbox/thesis/data/input/graphml/translated_chiles_two_6_copies.graphml,1.1214285714,False,4,13,False,140
/home/hummus/Dropbox/thesis/data/input/graphml/translated_atca_minh.graphml,1.4,False,6,11,False,45
/home/hummus/Dropbox/thesis/data/input/graphml/translated_test_seq_gather.graphml,1.3108108108,True,4,25,False,74
